Exercice,Nom 2024 Commune,Nom 2024 Département,Agrégat,Montant,Montant en millions,Population totale,Montant en € par habitant
2024,Sainte-Rose,Guadeloupe,Autres dotations et subventions,0.0,0.0,17878,0.0
2024,Terre-de-Bas,Guadeloupe,Autres dotations et subventions,196907.77,0.1969077699999999,937,210.14703308431163
2024,Terre-de-Haut,Guadeloupe,Autres dotations et subventions,962928.73,0.96292873,1544,623.6585038860103
2024,Terre-de-Haut,Guadeloupe,Autres dotations et subventions,0.0,0.0,1544,0.0
2024,Trois-Rivières,Guadeloupe,Autres dotations et subventions,1466505.21,1.46650521,7763,188.90959809352051
2024,Trois-Rivières,Guadeloupe,Autres dotations et subventions,0.0,0.0,7763,0.0
2024,Vieux-Fort,Guadeloupe,Autres dotations et subventions,131881.14,0.13188114,1816,72.62177312775331
2024,Vieux-Habitants,Guadeloupe,Autres dotations et subventions,1918629.03,1.91862903,7191,266.809766374635
2024,Vieux-Habitants,Guadeloupe,Autres dotations et subventions,0.0,0.0,7191,0.0
2024,Les Abymes,Guadeloupe,Concours de l'Etat,18250369.86,18.25036986,52586,347.0575792035903
2024,Anse-Bertrand,Guadeloupe,Concours de l'Etat,1485053.3,1.4850533,4107,361.5907718529341
2024,Baie-Mahault,Guadeloupe,Concours de l'Etat,10398148.48,10.39814848,31370,331.4679145680587
2024,Baie-Mahault,Guadeloupe,Concours de l'Etat,0.0,0.0,31370,0.0
2024,Baillif,Guadeloupe,Concours de l'Etat,1387888.67,1.38788867,5127,270.7019055978155
2024,Basse-Terre,Guadeloupe,Concours de l'Etat,3942684.48,3.94268448,9973,395.3358548079816
2024,Bouillante,Guadeloupe,Concours de l'Etat,1756950.0,1.75695,6729,261.1012037449844
2024,Bouillante,Guadeloupe,Concours de l'Etat,0.0,0.0,6729,0.0
2024,Capesterre-Belle-Eau,Guadeloupe,Concours de l'Etat,5172733.0,5.172733,17888,289.1733564400716
2024,Capesterre-de-Marie-Galante,Guadeloupe,Concours de l'Etat,1133598.0,1.133598,3226,351.3942963422195
2024,Capesterre-de-Marie-Galante,Guadeloupe,Concours de l'Etat,0.0,0.0,3226,0.0
2024,Gourbeyre,Guadeloupe,Concours de l'Etat,2035100.0,2.0351,7617,267.1786792700538
2024,Gourbeyre,Guadeloupe,Concours de l'Etat,0.0,0.0,7617,0.0
2024,La Désirade,Guadeloupe,Concours de l'Etat,529552.48,0.52955248,1420,372.9242816901408
2024,Deshaies,Guadeloupe,Concours de l'Etat,1509395.03,1.50939503,3976,379.6265165995976
2024,Grand-Bourg,Guadeloupe,Concours de l'Etat,1551150.35,1.55115035,4813,322.2834718470808
2024,Le Gosier,Guadeloupe,Concours de l'Etat,9020870.0,9.02087,27437,328.78485257134525
2024,Le Gosier,Guadeloupe,Concours de l'Etat,0.0,0.0,27437,0.0
2024,Goyave,Guadeloupe,Concours de l'Etat,1947035.66,1.94703566,7780,250.26165295629815
2024,Lamentin,Guadeloupe,Concours de l'Etat,4760724.5,4.7607245,18804,253.1761593278026
2024,Morne-à-l'Eau,Guadeloupe,Concours de l'Etat,4279033.73,4.27903373,16089,265.9602044875381
2024,Morne-à-l'Eau,Guadeloupe,Concours de l'Etat,0.0,0.0,16089,0.0
2024,Le Moule,Guadeloupe,Concours de l'Etat,7296847.0,7.296847,22949,317.9592574839862
2024,Le Moule,Guadeloupe,Concours de l'Etat,0.0,0.0,22949,0.0
